plot.no,samp.date,plant.no,samp.type,no.aphids
109,44060,2,flagged,3
109,44060,3,flagged,0
109,44060,4,flagged,1
109,44060,5,flagged,1
109,44060,1,random,16
109,44060,2,random,10
109,44060,3,random,21
109,44060,4,random,3
109,44060,5,random,3
110,44060,1,flagged,5
110,44060,2,flagged,36
110,44060,3,flagged,7
110,44060,4,flagged,4
110,44060,5,flagged,3
110,44060,1,random,19
110,44060,2,random,23
110,44060,3,random,7
110,44060,4,random,3
110,44060,5,random,3
711,44060,1,flagged,0
711,44060,2,flagged,0
711,44060,3,flagged,5
711,44060,4,flagged,0
711,44060,5,flagged,0
711,44060,1,random,0
711,44060,2,random,0
711,44060,3,random,9
711,44060,4,random,3
711,44060,5,random,0
610,44060,1,flagged,0
610,44060,2,flagged,0
610,44060,3,flagged,0
610,44060,4,flagged,10
610,44060,5,flagged,4
610,44060,1,random,4
610,44060,2,random,2
610,44060,3,random,5
610,44060,4,random,0
610,44060,5,random,8
710,44060,1,flagged,5
710,44060,2,flagged,3
710,44060,3,flagged,16
710,44060,4,flagged,0
710,44060,5,flagged,9
710,44060,1,random,1
710,44060,2,random,13
710,44060,3,random,0
710,44060,4,random,0
710,44060,5,random,3
604,44060,1,flagged,2
604,44060,2,flagged,0
604,44060,3,flagged,0
604,44060,4,flagged,23
604,44060,5,flagged,8
604,44060,1,random,0
604,44060,2,random,21
604,44060,3,random,0
604,44060,4,random,4
604,44060,5,random,11
1109,44060,1,flagged,9
1109,44060,2,flagged,2
1109,44060,3,flagged,0
1109,44060,4,flagged,0
1109,44060,5,flagged,14
1109,44060,1,random,13
1109,44060,2,random,12
1109,44060,3,random,0
1109,44060,4,random,6
1109,44060,5,random,5
1106,44060,1,flagged,0
1106,44060,2,flagged,16
1106,44060,3,flagged,2
1106,44060,4,flagged,5
1106,44060,5,flagged,3
1106,44060,1,random,0
1106,44060,2,random,1
1106,44060,3,random,0
1106,44060,4,random,0
1106,44060,5,random,0
109,44066,1,flagged,28
109,44066,2,flagged,3
109,44066,3,flagged,4
109,44066,4,flagged,50
109,44066,5,flagged,8
109,44066,1,random,2
109,44066,2,random,36
109,44066,3,random,16
109,44066,4,random,49
109,44066,5,random,8
110,44066,1,flagged,16
110,44066,2,flagged,53
110,44066,3,flagged,3
110,44066,4,flagged,7
110,44066,5,flagged,5
110,44066,1,random,68
110,44066,2,random,18
110,44066,3,random,9
110,44066,4,random,2
110,44066,5,random,20
711,44066,1,flagged,0
711,44066,2,flagged,0
711,44066,3,flagged,7
711,44066,4,flagged,1
711,44066,5,flagged,0
711,44066,1,random,2
711,44066,2,random,0
711,44066,3,random,1
711,44066,4,random,1
711,44066,5,random,0
710,44066,1,flagged,3
710,44066,2,flagged,0
